genre_ids,id,original_title,vote_average,vote_count
"[27, 28, 53, 878]",74471,The Dead,5.7,89
"[16, 10751]",40619,Day & Night,7.7,438
"[28, 35, 80]",44425,दबंग्ग,6.2,73
"[53, 9648]",11439,The Ghost Writer,6.8,1135
"[18, 28, 53]",12645,Inhale,6.1,63
[35],35025,Le Mac,5.7,144
"[18, 53]",8999,Derailed,6.2,500
"[35, 10749]",34016,She's Out of My League,6.1,970
[27],26466,Triangle,6.8,1094
"[18, 35]",39356,Boy,7.5,149
[35],44269,Tout ce qui Brille,6.4,456
"[35, 10749, 18]",41210,The Switch,6.1,1008
"[35, 18, 10749]",39053,Cyrus,6.0,201
"[35, 10749]",136294,"L'Amour, c'est mieux à deux",5.6,118
"[28, 53, 80, 18]",15362,L'ennemi public n°1,7.4,404
[35],41382,Lottery Ticket,5.7,92
[18],45958,Biutiful,7.2,546
"[28, 12, 18, 36, 10752]",8349,Der rote Baron,6.5,111
"[35, 18, 10749]",41556,The Romantics,4.9,145
"[28, 12, 35]",37931,MacGruber,5.3,270
"[27, 9648, 53]",46441,Mirrors 2,5.5,182
"[27, 53, 9648]",19237,Kill Theory,5.3,58
"[36, 28]",44092,剑雨,6.8,87
"[18, 10749]",26022,My Name Is Khan,7.8,409
"[18, 28]",73211,Kongen av Bastøy,7.3,96
"[28, 35, 12]",35138,大兵小将,6.8,123
"[35, 18]",39210,Somewhere,6.1,376
"[35, 18, 10749]",27583,Greenberg,5.9,280
"[18, 10749, 10402]",45272,Country Strong,6.3,126
"[10402, 14, 28, 10751]",49852,The Nutcracker in 3D,5.5,97
"[99, 10751]",36970,Oceans,7.2,167
[18],45094,Conviction,7.2,297
"[18, 12, 36]",49009,The Way Back,6.9,759
"[10751, 12]",48844,The Search for Santa Paws,5.9,85
"[35, 10751]",38843,Ramona and Beezus,6.3,460
[18],65496,Mes chères études,4.8,67
[18],41180,The Client List,5.6,108
"[18, 36, 10770]",21634,Prayers for Bobby,7.9,220
"[18, 35, 10749]",18438,김씨 표류기,8.1,259
"[35, 10749]",38961,Tamara Drewe,5.8,226
"[35, 18]",46829,Barney's Version,7.2,210
"[18, 37]",57120,Meek's Cutoff,6.5,113
"[27, 53]",48393,Secuestrados,6.3,98
"[27, 878, 53]",31196,Growth,5.2,33
"[35, 18, 36]",46138,Made in Dagenham,6.6,150
"[14, 16, 18, 35, 878, 10751]",51256,Donkey's Christmas Shrektacular,5.3,70
"[35, 10749, 10770]",62592,Revenge of the Bridesmaids,6.3,165
"[12, 878]",50674,The Lost Future,5.0,79
[99],42296,Catfish,6.8,284
"[16, 35]",36736,The Drawn Together Movie: The Movie!,6.4,54
"[18, 53, 9648]",33195,Triage,6.5,82
[27],47518,The Tortured,5.3,77
[35],42189,Kevin Hart: Seriously Funny,7.3,89
[18],44835,Hesher,7.0,335
[18],38568,Howl,6.8,100
"[99, 10752]",39312,Restrepo,7.5,188
"[16, 35, 10751]",54551,Banana,7.1,178
[35],70076,Lying to Be Perfect,6.1,85
[18],33511,Nowhere Boy,7.3,469
"[18, 53]",41827,Red White & Blue,6.2,64
"[80, 18, 53]",37414,The Killer Inside Me,5.9,304
"[14, 18, 27, 35]",21588,Dellamorte Dellamore,7.1,192
"[16, 35, 10751]",45752,Scooby-Doo! Camp Scare,7.2,52
"[35, 18, 10749]",38093,Just Wright,6.2,211
"[28, 12, 16, 10751]",33427,LEGO: The Adventures of Clutch Powers,5.5,41
[35],52077,Rien à déclarer,5.8,602
"[35, 18, 10751, 10770]",49350,Harriet the Spy: Blog Wars,4.7,127
[18],33602,Temple Grandin,7.8,173
"[53, 9648, 80, 18]",291081,Red Riding: In the Year of Our Lord 1974,6.8,99
"[18, 28, 53, 80]",51823,Across the Line: The Exodus of Charlie Wright,5.9,19
[35],34803,Death at a Funeral,5.7,439
"[28, 27, 878, 53]",46368,The Rig,3.7,39
"[18, 9648, 10749]",38407,Shanghai,6.1,80
"[16, 10751]",45662,Space Chimps 2: Zartog Strikes Back,4.6,50
"[35, 18, 10749]",42888,How Do You Know,5.1,453
"[18, 36]",34182,孔子,5.9,45
"[27, 878, 10770]",95547,Triassic Attack,3.2,22
"[10749, 35, 18]",47607,Tiny Furniture,5.9,82
"[18, 10402]",33473,Stomp the Yard 2: Homecoming,4.7,48
"[16, 35]",48466,Scared Shrekless,6.2,177
[35],35428,О чём говорят мужчины,7.7,71
"[35, 10749, 18]",47218,Happythankyoumoreplease,6.5,148
"[35, 10749]",35688,Why Did I Get Married Too?,5.9,49
"[27, 53]",47386,YellowBrickRoad,4.9,75
[35],38778,Dinner for Schmucks,5.6,920
"[18, 10749]",60695,Sundays at Tiffany's,6.5,43
"[27, 53, 80, 9648]",33107,And Soon the Darkness,5.2,197
"[12, 14, 16, 28, 53, 878, 10751]",50337,Firebreather,6.2,33
"[35, 10749]",35458,Crazy on the Outside,5.4,48
"[80, 18, 53, 36]",43434,Carlos,7.0,87
"[18, 10751, 12]",34751,Free Willy: Escape from Pirate's Cove,5.2,61
"[35, 18, 10749]",36956,Cosa voglio di più,5.6,49
"[35, 10749]",36515,The Prince & Me 4: The Elephant Adventure,5.5,37
"[16, 28, 53, 878]",64956,Inception: The Cobol Job,7.4,227
"[9648, 18]",29483,Beautiful Kate,6.1,29
[27],69270,Super Hybrid,5.1,35
[99],40663,Gasland,7.5,80
"[28, 12, 27, 878]",39522,Mega Piranha,2.9,78
"[27, 53]",38033,Chain Letter,4.1,63
[18],43920,Dog Pound,7.6,177
"[35, 18]",41479,The Joneses,6.2,312
"[53, 80, 18, 9648]",291092,Red Riding: In the Year of Our Lord 1983,7.0,70
"[27, 28, 878, 53]",44037,Lake Placid 3,4.4,68
"[10402, 35, 18]",43939,I'm Still Here,6.0,179
"[10751, 14, 27, 10770]",48186,The Boy Who Cried Werewolf,6.0,123
[99],44992,Hubble 3D,7.1,54
"[18, 53, 80, 9648]",43263,Jesse Stone: No Remorse,6.8,34
"[16, 878]",52010,"Ultramarines: A Warhammer 40,000 Movie",5.2,50
"[10749, 35]",60809,Groupies bleiben nicht zum Frühstück,6.9,104
"[10751, 16]",41066,レイトン教授と永遠の歌姫,7.7,78
"[27, 28, 53, 878]",44678,Altitude,4.9,119
[18],27569,Extraordinary Measures,6.3,153
"[18, 14]",44638,The Tempest,5.8,52
"[16, 35]",24328,Tokyo Mater,6.0,41
[35],57243,Les Femmes du 6e étage,6.7,183
"[28, 53, 37]",45569,Red Hill,6.1,79
[18],46207,White Material,7.1,57
"[10770, 10751]",46064,Den Brother,6.0,56
"[18, 36, 10752]",13752,Max Manus,7.1,114
"[18, 35]",36801,Cemetery Junction,6.6,116
"[35, 18, 10749]",38031,You Will Meet a Tall Dark Stranger,5.8,431
[35],47407,Milf,4.1,41
"[35, 28, 80]",40194,Coursier,4.9,74
[18],39845,Love Ranch,6.1,28
"[16, 14]",45745,Sintel,7.6,99
"[16, 35]",10797,Terkel i knibe,6.4,39
"[35, 10749]",51072,De vrais mensonges,5.8,70
"[35, 53, 80]",66195,The Perfect Host,6.3,217
[99],39440,"Waiting for ""Superman""",7.0,70
"[18, 28, 10749]",37737,Kites,5.8,67
"[18, 878, 35, 9648]",46837,Kaboom,5.7,175
"[28, 80, 18, 53]",80188,Boy Wonder,6.6,77
"[35, 80, 53]",12834,Leaves of Grass,6.0,214
[18],51794,Five Minarets in New York,5.7,49
"[35, 10749]",51090,L'Âge de raison,5.3,64
"[27, 878]",40016,Birdemic: Shock and Terror,2.0,152
"[35, 18]",40247,Please Give,6.3,81
[18],54602,Skateland,5.4,16
"[9648, 99, 27, 80]",56811,Cropsey,6.0,90
"[18, 10749]",41518,Guzaarish,7.6,52
"[80, 27, 9648, 53]",29159,Giallo,4.0,64
"[80, 28, 12, 53]",28465,A Dangerous Man,5.1,53
"[27, 53]",27297,Gurotesuku,5.3,69
"[35, 10751, 10770]",45839,FRED: The Movie,5.0,81
"[878, 53, 18, 9648]",71700,Repeaters,5.7,75
"[16, 35, 10751, 9648, 14]",32916,Scooby-Doo! Abracadabra-Doo,6.8,58
[16],55692,Scrat's Continental Crack-Up,6.9,67
"[28, 53]",26583,The Keeper,5.3,42
[35],27584,High School,5.8,68
"[53, 27]",43950,Amer,6.6,59
"[80, 18, 53]",44027,"My Son, My Son, What Have Ye Done",6.1,85
[28],26010,狼牙,6.2,33
[99],43942,Freakonomics,6.6,57
[14],48395,Rare Exports,6.5,233
"[28, 12, 53]",46713,Hunt to Kill,5.1,60
"[16, 28, 37]",41988,DC Showcase: Jonah Hex,6.8,38
"[9648, 27, 53, 80]",57749,The Clinic,5.2,59
"[99, 10402]",37659,When You're Strange,7.6,85
"[18, 27, 53]",39681,Les 7 jours du talion,6.3,76
[18],18530,The Cry of the Owl,5.6,46
"[28, 18, 53]",56812,Balada triste de trompeta,6.7,177
"[53, 80, 18, 9648]",291084,Red Riding: In the Year of Our Lord 1980,7.1,73
[99],44737,Bébés,7.0,77
"[16, 35, 10751]",54553,Home Makeover,6.9,89
[35],35217,Friendship!,6.6,76
"[53, 28, 35]",52208,Nude Nuns with Big Guns,4.2,55
"[14, 18, 27, 28, 53, 9648]",33555,Sherlock Holmes,5.6,53
[99],89704,Happy People: A Year in the Taiga,7.7,65
[18],45316,उड़ान,7.2,83
"[80, 18, 9648]",37708,Wild Things: Foursome,5.0,36
"[35, 27]",40912,2001 Maniacs: Field of Screams,4.0,31
[16],39030,El Materdor,5.7,24
"[10751, 18, 10749, 35]",59435,An Invisible Sign,5.1,58
[12],54770,時をかける少女,6.3,26
"[27, 53, 18]",44950,A Horrible Way to Die,5.2,36
"[10770, 14, 35, 10749, 10751]",52060,Christmas Cupid,5.8,107
"[35, 10751]",44978,गोलमाल 3,5.4,34
"[18, 36]",30239,Vincere,6.5,54
"[27, 878]",44809,Dinocroc vs. Supergator,4.0,22
[18],39806,Princess Ka'iulani,5.1,22
"[35, 18]",35221,Father of Invention,5.4,70
[18],102639,Virginia,5.8,24
"[80, 53, 35]",21467,Der Knochenmann,7.3,43
"[28, 80, 53]",66193,Sinners and Saints,5.6,42
"[18, 35, 10749]",45077,Every Day,5.5,46
"[28, 18, 53]",49261,Locked Down,4.1,15
"[53, 10752]",48243,Essential Killing,5.7,73
"[18, 27, 53]",49787,The Reef,5.6,264
"[35, 18, 10749]",44282,Plan B,7.2,45
[18],56968,The Pregnancy Pact,4.8,78
"[35, 18, 10749]",44594,Barry Munday,6.0,37
[35],45781,Hole in One,3.9,54
[99],241829,The Making of The Walking Dead,8.0,82
"[18, 10749]",67198,Bloodworth,6.3,18
"[18, 10751, 14]",61005,The Good Witch's Gift,6.9,37
[35],47088,The Extra Man,5.9,46
"[16, 35]",148608,Moon Mater,5.7,18
[35],34563,Our Family Wedding,5.5,57
"[28, 878]",37851,На игре 2: Новый уровень,5.2,21
"[28, 18, 53]",35402,Icarus,5.2,42
"[53, 80, 9648]",53404,Crime d'amour,6.5,45
"[18, 28, 80]",44862,Once Fallen,4.8,14
"[18, 10751]",56601,The Perfect Game,6.3,44
"[18, 53]",38325,Как я провёл этим летом,6.1,52
"[12, 18]",37932,Flicka 2,5.9,48
"[28, 27, 53]",24421,Stag Night,4.8,34
"[14, 27, 28, 53]",48871,Red: Werewolf Hunter,4.2,31
"[28, 53]",51250,Gun,5.5,45
[18],37058,I'm Here,7.2,82
"[28, 12, 35, 27]",46812,Lost Boys: The Thirst,5.3,61
[35],42889,The Virginity Hit,4.6,35
"[35, 10749]",44221,Group Sex,5.4,34
"[36, 18, 10749]",45822,Różyczka,7.0,16
"[35, 10749, 18]",57209,Неадекватные люди,7.2,35
"[35, 18]",44565,Khatta Meetha,4.9,21
[18],25541,Broderskab,7.5,35
"[53, 878, 28]",62989,Ice Quake,4.2,32
"[35, 10749]",47812,Любовь в большом городе 2,5.7,12
"[18, 10402, 10749]",48373,Listen to Your Heart,7.6,59
"[18, 28, 53]",36147,Deadly Impact,4.7,20
"[35, 18, 10749]",43943,Jack Goes Boating,6.1,57
"[53, 18, 10749, 80]",47261,Carancho,6.6,59
[10749],144256,Farewell Mr. Kringle,6.4,10
[16],148605,Monster Truck Mater,5.6,23
"[53, 35]",33556,इश्क़िया,6.4,30
"[35, 10749]",40722,How to Make Love to a Woman,4.6,26
"[35, 18]",42171,The Infidel,6.0,59
"[35, 18, 10749]",37665,Wake,4.8,23
"[35, 80, 18]",31035,En ganske snill mann,6.3,43
[35],46198,My Girlfriend's Boyfriend,5.9,68
"[18, 35, 10749]",46147,Sykt lykkelig,6.2,18
"[14, 9648, 53]",51273,Тёмный мир,4.3,24
[18],66111,Luster,5.1,7
"[27, 53]",49901,Rammbock,6.0,59
"[27, 28, 53]",44224,Bear,3.5,9
"[18, 10749]",11403,The River Why,5.7,31
"[18, 28]",38186,Чужая,6.7,11
"[35, 18, 10402, 10749]",44566,Anjaana Anjaani,6.1,47
"[18, 10751]",35691,Letters to God,6.9,71
"[18, 9648, 53]",43642,Abandoned,4.8,65
[35],29919,The Six Wives of Henry Lefay,5.3,40
"[16, 12]",46718,DC Showcase: Green Arrow,7.2,54
[99],37757,Never Sleep Again: The Elm Street Legacy,8.2,63
"[10749, 18]",48798,Love and Distrust,4.7,16
